GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
ASTMA572GR50,NVD,4615525.0,,100.0,1585.0,1505.0,132.0,1700.0,25.0,3246.0,0.106,0.98,0.08,0.1749,0.033,57.0,301.95,0.033,0.178,1.34,0.004,0.224,67.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1022,VD,4615526.0,,100.0,1610.0,1505.0,132.0,1850.0,25.0,3586.0,0.065,0.44,0.085,0.0179,0.046,57.0,359.7,0.03,0.206,0.87,0.005,0.07,54.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
ASTMA572GR50,NVD,4615527.0,,100.0,1580.0,1505.0,132.0,1600.0,25.0,3364.0,0.109,0.96,0.084,0.197,0.061,68.0,214.5,0.042,0.179,1.37,0.016,0.225,74.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
E460STRO7,NVD,4615528.0,,100.0,1580.0,1505.0,132.0,1300.0,25.0,3027.0,0.107,0.83,0.083,0.168,0.093,44.0,181.5,0.059,0.174,1.51,0.035,0.2389,67.0,E460STRO7,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1022,VD,4615529.0,,100.0,1585.0,1505.0,132.0,1750.0,25.0,3450.0,0.072,0.49,0.082,0.029,0.019,47.0,363.0,0.03,0.206,0.85,0.004,0.0719,58.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
E460STRO7,NVD,4615530.0,,100.0,1580.0,1505.0,132.0,1800.0,25.0,3416.0,0.075,0.93,0.085,0.122,0.019,48.0,330.0,0.027,0.173,1.55,0.0089,0.222,71.0,E460STRO7,,,,,,,,,,,,,,,,,,,436.781728873635,
E460STRO7,NVD,4615531.0,,100.0,1580.0,1505.0,132.0,1850.0,25.0,3787.0,0.11,1.03,0.07,0.189,0.058,53.0,224.4,0.029,0.185,1.54,0.005,0.265,1.0,E460STRO7,,,,,,,,,,,,,,,,,,,436.781728873635,
E460STRO7,NVD,4615532.0,,100.0,1580.0,1505.0,132.0,1300.0,25.0,3765.0,0.106,1.13,0.058,0.214,0.108,57.0,181.5,0.036,0.18,1.54,0.0089,0.246,61.0,E460STRO7,,,,,,,,,,,,,,,,,,,436.781728873635,
19MNB4MHC,VD,4615533.0,,100.0,1585.0,1505.0,132.0,1450.0,25.0,3400.0,0.094,0.72,0.066,0.121,0.078,51.0,198.0,0.032,0.3,1.05,0.005,0.171,66.0,19MNB4MHC,0.3,1.05,0.15,0.03,0.28,0.32,1.0,1.1,0.1,0.2,0.022,0.038,70.0,0.01,0.206,0.33,0.0289999999999999,-0.048,436.781728873635,
19MNB4MHC,VD,4615534.0,,100.0,1570.0,1505.0,132.0,1400.0,25.0,3762.0,0.075,0.67,0.068,0.1029,0.075,51.0,207.9,0.035,0.287,1.03,0.005,0.166,66.0,19MNB4MHC,0.3,1.05,0.15,0.03,0.28,0.32,1.0,1.1,0.1,0.2,0.022,0.038,70.0,0.01,0.2249999999999999,0.38,0.0470999999999999,-0.045,436.781728873635,
19MNB4MHC,VD,4615535.0,,100.0,1565.0,1505.0,110.0,1400.0,25.0,3438.0,0.162,0.78,0.0729,0.11,0.115,51.0,161.15,0.036,0.285,1.01,0.004,0.128,63.0,19MNB4MHC,0.3,1.05,0.15,0.03,0.28,0.32,1.0,1.1,0.1,0.2,0.022,0.038,70.0,0.01,0.1379999999999999,0.27,0.0399999999999999,-0.085,436.781728873635,
C18HMN,NVD,4615536.0,,100.0,1570.0,1505.0,110.0,1500.0,25.0,3904.0,0.095,0.95,0.0739,0.194,0.096,54.0,169.4,0.036,0.161,1.22,0.005,0.224,70.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615537.0,,96.0,1568.0,1505.0,110.0,1300.0,25.0,3805.0,0.055,0.79,0.082,0.1479,0.011,51.0,278.3,0.033,0.158,1.19,0.008,0.25,68.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615538.0,,94.0,1570.0,1505.0,110.0,1250.0,25.0,3769.0,0.076,0.85,0.0859,0.1729,0.038,53.0,260.15,0.036,0.159,1.2,0.0089,0.214,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615539.0,,115.0,1572.0,1505.0,110.0,1400.0,25.0,3670.0,0.074,0.71,0.083,0.157,0.044,63.0,234.74,0.029,0.165,1.14,0.0089,0.219,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615540.0,,98.0,1565.0,1505.0,110.0,1400.0,25.0,3581.0,0.064,0.79,0.0609,0.129,0.02,63.0,289.85,0.028,0.166,1.18,0.004,0.215,68.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615541.0,,99.0,1565.0,1505.0,110.0,1300.0,25.0,3444.0,0.08,0.8,0.067,0.187,0.058,57.0,197.78,0.037,0.167,1.17,0.01,0.228,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615542.0,,100.0,1570.0,1505.0,132.0,1650.0,25.0,4382.0,0.093,1.04,0.065,0.1759,0.028,61.0,264.0,0.029,0.173,1.2,0.007,0.192,66.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
19MNB4MHC,VD,4615543.0,,99.0,1590.0,1505.0,132.0,1340.0,25.0,3427.0,0.094,0.84,0.067,0.11,0.086,61.0,205.26,0.039,0.29,1.02,0.006,0.168,67.0,19MNB4MHC,0.3,1.05,0.15,0.03,0.28,0.32,1.0,1.1,0.1,0.2,0.022,0.038,70.0,0.01,0.206,0.21,0.0399999999999999,-0.0559999999999999,436.781728873635,
HT(V),NVD,4615544.0,,100.0,1568.0,1505.0,132.0,1600.0,25.0,3679.0,0.12,1.01,0.065,0.1769,0.041,61.0,270.6,0.037,0.179,1.22,0.005,0.2069,67.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615545.0,,91.0,1575.0,1505.0,132.0,1150.0,25.0,3492.0,0.123,1.1,0.0529,0.153,0.127,63.0,190.41,0.038,0.184,1.31,0.007,0.224,68.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615546.0,,100.0,1575.0,1505.0,132.0,1250.0,25.0,3414.0,0.1,1.01,0.07,0.163,0.061,63.0,219.78,0.035,0.184,1.25,0.007,0.228,71.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615547.0,,100.0,1573.0,1505.0,132.0,1700.0,25.0,3600.0,0.097,0.72,0.0609,0.1419,0.048,54.0,250.8,0.033,0.183,1.25,0.0089,0.184,71.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615548.0,,100.0,1570.0,1505.0,132.0,1650.0,25.0,3648.0,0.094,0.96,0.078,0.1489,0.051,51.0,264.0,0.039,0.184,1.23,0.012,0.1769,67.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615549.0,,100.0,1574.0,1505.0,132.0,1500.0,25.0,3631.0,0.092,0.85,0.068,0.136,0.099,53.0,264.0,0.042,0.176,1.18,0.017,0.164,67.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615550.0,,100.0,1570.0,1505.0,132.0,1700.0,25.0,3374.0,0.098,1.03,0.0519,0.137,0.015,54.0,270.6,0.029,0.174,1.22,0.005,0.188,68.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615551.0,,100.0,1578.0,1505.0,132.0,1620.0,25.0,3768.0,0.079,0.89,0.058,0.126,0.029,51.0,311.52,0.037,0.179,1.23,0.0109,0.198,74.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615552.0,,100.0,1572.0,1505.0,178.0,1500.0,25.0,3572.0,0.079,0.94,0.068,0.117,0.034,55.0,376.0,0.027,0.179,1.23,0.007,0.2109,71.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615553.0,,100.0,1575.0,1505.0,178.0,1700.0,25.0,3857.0,0.07,0.76,0.064,0.084,0.013,60.0,409.0,0.031,0.16,1.13,0.016,0.138,63.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615554.0,,100.0,1580.0,1505.0,132.0,1350.0,25.0,3904.0,0.097,0.72,0.0609,0.1419,0.048,54.0,290.4,0.032,0.187,1.22,0.0109,0.189,74.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615555.0,,100.0,1584.0,1505.0,178.0,1300.0,25.0,4091.0,0.124,1.18,0.048,0.1769,0.033,51.0,313.96,0.042,0.191,1.23,0.01,0.195,66.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1022,VD,4615556.0,,102.0,1605.0,1505.0,178.0,1500.0,25.0,3542.0,0.129,0.61,0.057,0.042,0.077,58.0,328.15,0.028,0.208,0.87,0.01,0.0369,66.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
HT(V),NVD,4615557.0,,98.0,1580.0,1505.0,132.0,1500.0,25.0,3699.0,0.086,0.98,0.05,0.1489,0.059,55.0,247.5,0.035,0.191,1.24,0.006,0.2129,73.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1022,VD,4615558.0,,97.0,1580.0,1505.0,178.0,1500.0,25.0,3399.0,0.113,0.62,0.056,0.042,0.088,58.0,303.4,0.039,0.215,0.85,0.005,0.07,67.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
SAE1022,VD,4615559.0,,98.0,1570.0,1505.0,178.0,1700.0,25.0,3601.0,0.097,0.6,0.064,0.0369,0.058,54.0,409.0,0.037,0.207,0.85,0.004,0.085,61.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
C18HMN,NVD,4615560.0,,99.0,1602.0,1505.0,132.0,1450.0,25.0,3711.0,0.12,0.9,0.065,0.108,0.024,48.0,307.23,0.035,0.157,1.16,0.004,0.191,54.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1022,VD,4615561.0,,101.0,1570.0,1505.0,132.0,1300.0,25.0,3660.0,0.075,0.5,0.0759,0.023,0.04,38.0,346.5,0.043,0.206,0.87,0.006,0.0729,57.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
C18HMN,NVD,4615562.0,,104.0,1580.0,1505.0,132.0,1500.0,25.0,3248.0,0.071,0.76,0.0599,0.163,0.021,44.0,280.5,0.036,0.168,1.16,0.008,0.184,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615563.0,,95.0,1575.0,1505.0,132.0,1350.0,25.0,3220.0,0.065,0.73,0.0709,0.126,0.042,51.0,289.41,0.027,0.165,1.17,0.008,0.224,61.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615564.0,,100.0,1580.0,1505.0,132.0,1300.0,25.0,3615.0,0.075,0.83,0.07,0.1759,0.035,48.0,249.15,0.033,0.156,1.18,0.0109,0.2059,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615565.0,,102.0,1575.0,1505.0,132.0,1500.0,25.0,3624.0,0.077,0.71,0.065,0.1489,0.07,27.0,214.5,0.038,0.177,1.18,0.01,0.221,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615566.0,,101.0,1578.0,1505.0,132.0,1500.0,25.0,3733.0,0.081,0.75,0.07,0.17,0.079,51.0,165.0,0.026,0.168,1.15,0.0129,0.2099,68.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615567.0,,102.0,1575.0,1505.0,132.0,1500.0,25.0,4070.0,0.069,0.8,0.07,0.169,0.052,51.0,214.5,0.039,0.165,1.19,0.016,0.2049,70.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615568.0,,100.0,1580.0,1505.0,132.0,1540.0,25.0,3552.0,0.076,0.76,0.067,0.166,0.095,45.0,181.5,0.031,0.194,1.2,0.019,0.224,66.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615569.0,,100.0,1575.0,1505.0,132.0,1600.0,25.0,3820.0,0.068,0.81,0.066,0.187,0.059,44.0,198.0,0.034,0.176,1.17,0.0129,0.223,71.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615570.0,,98.0,1580.0,1505.0,110.0,1550.0,25.0,3567.0,0.061,0.79,0.07,0.152,0.04,45.0,249.26,0.029,0.169,1.17,0.012,0.224,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615571.0,,100.0,1595.0,1505.0,110.0,1750.0,25.0,3625.0,0.057,0.72,0.07,0.1189,0.013,53.0,284.9,0.04,0.161,1.17,0.007,0.252,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
AISI12L14-1,NVD,4615572.0,,99.0,1613.0,1505.0,66.0,700.0,25.0,4434.0,0.053,0.69,0.3579,0.115,0.719,54.0,66.0,0.001,0.072,1.11,0.3579,0.0429,64.0,AISI12L141,,1.12,,,,0.08,1.07,1.17,,0.1,,0.01,70.0,0.35,,0.4300000000000001,,,896.5,2.0
C18HMN,NVD,4615573.0,,100.0,1580.0,1505.0,110.0,1700.0,25.0,3420.0,0.077,0.79,0.057,0.1779,0.053,48.0,182.6,0.05,0.162,1.19,0.014,0.195,61.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
AISI12L14-1,NVD,4615574.0,,96.0,1608.0,1505.0,0.0,700.0,25.0,3749.0,0.061,0.95,0.34,0.1189,0.493,53.0,0.0,0.001,0.065,1.14,0.321,0.0519,54.0,AISI12L141,,1.12,,,,0.08,1.07,1.17,,0.1,,0.01,70.0,0.35,,0.1700000000000001,,,896.5,2.0
AISI12L14-1,NVD,4615575.0,,97.0,1602.0,1505.0,66.0,700.0,25.0,3453.0,0.052,0.77,0.343,0.0889,0.452,60.0,66.0,0.001,0.06,1.22,0.312,0.04,54.0,AISI12L141,,1.12,,,,0.08,1.07,1.17,,0.1,,0.01,70.0,0.35,,0.3500000000000001,,,896.5,2.0
C18HMN,NVD,4615576.0,,101.0,1615.0,1505.0,110.0,1650.0,25.0,3275.0,0.069,0.76,0.0719,0.163,0.062,61.0,195.8,0.035,0.162,1.18,0.005,0.217,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615578.0,,99.0,1585.0,1505.0,110.0,1700.0,25.0,3735.0,0.106,0.77,0.064,0.1749,0.011,63.0,242.66,0.038,0.161,1.16,0.012,0.192,68.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615579.0,,101.0,1580.0,1505.0,132.0,1200.0,25.0,3759.0,0.077,0.74,0.0599,0.169,0.042,50.0,214.5,0.044,0.166,1.21,0.01,0.219,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615580.0,,102.0,1570.0,1505.0,110.0,1800.0,25.0,3565.0,0.09,0.73,0.07,0.158,0.02,55.0,258.5,0.043,0.167,1.18,0.0149,0.2039,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615581.0,,96.0,1575.0,1505.0,132.0,1550.0,25.0,3557.0,0.127,0.79,0.08,0.194,0.053,54.0,254.1,0.028,0.163,1.18,0.006,0.1789,70.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615582.0,,96.0,1595.0,1505.0,132.0,1500.0,25.0,3621.0,0.078,0.8,0.0769,0.1769,0.056,57.0,226.05,0.036,0.163,1.17,0.006,0.22,68.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615583.0,,102.0,1570.0,1505.0,132.0,1350.0,25.0,3837.0,0.091,0.75,0.0739,0.1749,0.061,63.0,234.3,0.036,0.162,1.17,0.007,0.2039,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615584.0,,101.0,1576.0,1505.0,132.0,1700.0,25.0,4296.0,0.056,0.7,0.064,0.123,0.02,57.0,306.9,0.032,0.154,1.14,0.0129,0.161,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
AISI12L14,NVD,4615585.0,,103.0,1612.0,1550.0,66.0,500.0,25.0,4229.0,0.055,0.78,0.2099,0.0879,0.531,54.0,66.0,0.001,0.074,1.13,0.317,0.0449,66.0,AISI12L14,0.0775,1.135,,,0.065,0.09,1.1,1.17,,0.05,,0.01,70.0,0.35,0.0225,0.355,,,1015.5,2.0
C18HMN,NVD,4615586.0,,102.0,1570.0,1505.0,66.0,1700.0,25.0,3961.0,0.068,0.68,0.0719,0.122,0.008,51.0,66.0,0.031,0.163,1.19,0.008,0.231,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615587.0,,103.0,1575.0,1505.0,110.0,1500.0,25.0,4038.0,0.078,0.76,0.0749,0.138,0.021,51.0,268.4,0.033,0.157,1.16,0.0109,0.224,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615588.0,,97.0,1572.0,1505.0,178.0,1700.0,25.0,4129.0,0.103,0.73,0.079,0.152,0.012,54.0,306.7,0.037,0.174,1.19,0.0109,0.229,66.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615589.0,,102.0,1571.0,1505.0,110.0,1500.0,25.0,4149.0,0.09,0.72,0.0769,0.171,0.052,48.0,212.3,0.031,0.156,1.18,0.01,0.23,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615590.0,,98.0,1575.0,1505.0,178.0,2000.0,25.0,3861.0,0.086,0.71,0.0749,0.158,0.01,55.0,351.25,0.038,0.154,1.16,0.0089,0.202,66.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615591.0,,101.0,1580.0,1505.0,110.0,1500.0,25.0,4044.0,0.069,0.83,0.0709,0.1809,0.051,55.0,232.1,0.029,0.168,1.2,0.0109,0.2119,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615592.0,,99.0,578.0,1505.0,178.0,1650.0,25.0,3795.0,0.146,1.09,0.0759,0.191,0.04,48.0,260.5,0.035,0.183,1.24,0.014,0.198,67.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615593.0,,99.0,1580.0,1505.0,132.0,1450.0,25.0,3473.0,0.128,1.11,0.07,0.194,0.071,57.0,207.9,0.028,0.187,1.25,0.01,0.188,68.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615594.0,,97.0,1575.0,1505.0,132.0,1500.0,25.0,3561.0,0.104,1.02,0.0599,0.157,0.053,54.0,252.45,0.035,0.181,1.23,0.01,0.201,71.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615595.0,,101.0,1573.0,1505.0,132.0,1200.0,25.0,3717.0,0.093,0.95,0.055,0.153,0.016,54.0,224.4,0.027,0.182,1.24,0.007,0.219,60.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615596.0,,99.0,1575.0,1505.0,132.0,1250.0,25.0,3724.0,0.114,1.12,0.057,0.2369,0.128,51.0,234.3,0.038,0.187,1.23,0.01,0.183,64.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615597.0,,99.0,1576.0,1505.0,132.0,1250.0,25.0,3799.0,0.092,0.96,0.0599,0.152,0.029,53.0,231.0,0.029,0.178,1.21,0.008,0.1779,63.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
AISI12L14,NVD,4615599.0,,105.0,1610.0,1505.0,66.0,700.0,25.0,3932.0,0.054,0.68,0.343,0.126,0.522,53.0,66.0,0.001,0.07,1.12,0.3049,0.0219,64.0,AISI12L14,0.0775,1.135,,,0.065,0.09,1.1,1.17,,0.05,,0.01,70.0,0.35,0.0235,0.4549999999999999,,,1015.5,2.0
C18HMN,NVD,4615600.0,,102.0,1605.0,1505.0,66.0,1200.0,25.0,3386.0,0.081,0.7,0.055,0.155,0.543,54.0,66.0,0.028,0.168,1.18,0.005,0.2089,66.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
AISI12L14,NVD,4615601.0,,106.0,1600.0,1505.0,66.0,700.0,25.0,3764.0,0.053,0.67,0.309,0.112,0.514,50.0,66.0,0.001,0.08,1.11,0.311,0.012,57.0,AISI12L14,0.0775,1.135,,,0.065,0.09,1.1,1.17,,0.05,,0.01,70.0,0.35,0.0245,0.4649999999999999,,,1015.5,2.0
C18HMN,NVD,4615602.0,,104.0,1580.0,1505.0,110.0,1200.0,25.0,3403.0,0.082,0.79,0.0529,0.1749,0.069,48.0,166.1,0.033,0.157,1.14,0.0109,0.203,63.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615603.0,,102.0,1570.0,1505.0,132.0,1350.0,25.0,3418.0,0.076,0.74,0.069,0.1479,0.023,48.0,307.89,0.032,0.158,1.17,0.01,0.2059,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615604.0,,104.0,1580.0,1505.0,132.0,1300.0,25.0,3467.0,0.085,0.78,0.07,0.167,0.013,51.0,247.5,0.037,0.182,1.16,0.014,0.257,67.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615605.0,,102.0,1570.0,1505.0,132.0,1400.0,25.0,3367.0,0.063,0.83,0.082,0.196,0.185,48.0,214.5,0.026,0.163,1.18,0.0089,0.196,64.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMN,NVD,4615606.0,,102.0,1575.0,1505.0,132.0,1300.0,25.0,3557.0,0.077,0.83,0.069,0.188,0.075,53.0,148.5,0.037,0.167,1.17,0.0109,0.2419,66.0,C18HMN,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615607.0,,103.0,1580.0,1505.0,132.0,1450.0,25.0,3654.0,0.086,1.03,0.058,0.1789,0.056,51.0,214.5,0.031,0.172,1.26,0.006,0.199,64.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615608.0,,102.0,1575.0,1505.0,132.0,1300.0,25.0,3606.0,0.09,0.99,0.0519,0.1459,0.018,54.0,267.3,0.033,0.181,1.22,0.005,0.193,67.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HT(V),NVD,4615609.0,,100.0,1570.0,1505.0,132.0,1400.0,25.0,3446.0,0.096,1.01,0.047,0.1769,0.036,54.0,244.2,0.037,0.183,1.28,0.0109,0.189,66.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HC52BX,VD,4615610.0,,100.0,1565.0,1505.0,0.0,1050.0,25.0,3581.0,0.09,0.59,0.0529,0.1439,0.043,53.0,50.0,0.006,0.496,0.75,0.006,0.168,54.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.43,0.165,0.0561,,436.781728873635,
HT(V),NVD,4615611.0,,100.0,1590.0,1505.0,132.0,1400.0,25.0,3163.0,0.096,1.02,0.055,0.1449,0.021,50.0,132.0,0.025,0.176,1.3,0.014,0.19,64.0,HTV,,,,,,,,,,,,,,,,,,,436.781728873635,
HC52BX,VD,4615612.0,,100.0,1544.0,1505.0,22.0,1400.0,25.0,3163.0,0.072,0.56,0.066,0.192,0.002,51.0,22.0,0.004,0.514,0.73,0.0129,0.185,58.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.448,0.1949999999999999,0.008,,436.781728873635,
HC52BX,VD,4615613.0,,100.0,1548.0,1505.0,22.0,1100.0,25.0,3216.0,0.067,0.53,0.068,0.151,0.008,54.0,23.0,0.005,0.499,0.73,0.0149,0.228,57.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.453,0.2249999999999999,0.049,,436.781728873635,
HC52BX,VD,4615614.0,,100.0,1545.0,1505.0,22.0,1800.0,25.0,3167.0,0.086,0.52,0.0739,0.114,0.006,57.0,22.0,0.009,0.512,0.76,0.005,0.2129,57.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.434,0.235,0.086,,436.781728873635,
HC52BX,VD,4615615.0,,100.0,1545.0,1505.0,22.0,1200.0,25.0,3620.0,0.082,0.57,0.082,0.221,0.006,54.0,22.0,0.009,0.52,0.73,0.0089,0.215,58.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.438,0.185,-0.0209999999999999,,436.781728873635,
HC52BX,VD,4615616.0,,100.0,1545.0,1505.0,22.0,1350.0,25.0,3138.0,0.072,0.57,0.083,0.126,0.008,54.0,22.0,0.009,0.515,0.74,0.008,0.2069,61.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.448,0.185,0.074,,436.781728873635,
HC52BX,VD,4615617.0,,100.0,1555.0,1505.0,22.0,1800.0,25.0,2872.0,0.09,0.56,0.0899,0.157,0.004,55.0,22.0,0.004,0.504,0.74,0.008,0.232,57.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.43,0.1949999999999999,0.043,,436.781728873635,
HC52BX,VD,4615618.0,,100.0,1540.0,1505.0,22.0,1500.0,25.0,2737.0,0.077,0.57,0.078,0.154,0.009,55.0,22.0,0.003,0.533,0.74,0.007,0.226,57.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.443,0.185,0.046,,436.781728873635,
HC52BX,VD,4615619.0,,100.0,1545.0,1505.0,22.0,1600.0,25.0,3595.0,0.077,0.65,0.0729,0.2089,0.015,51.0,62.0,0.005,0.522,0.74,0.006,0.2039,55.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.443,0.1049999999999999,-0.0088999999999999,,436.781728873635,
HC52BX,VD,4615620.0,,100.0,1545.0,1505.0,55.0,1550.0,100.0,3128.0,0.167,0.59,0.0769,0.13,0.001,54.0,55.0,0.007,0.491,0.75,0.01,0.247,71.0,HC52BX,0.52,0.755,0.2,,0.5,0.54,0.71,0.8,0.15,0.25,,,60.0,0.015,0.353,0.165,0.07,,436.781728873635,
