GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
JSPTHHSV,NVD,4615131.0,,97.0,1575.0,1505.0,132.0,1400.0,25.0,3907.0,0.12,0.89,0.0749,0.152,0.057,51.0,224.5,0.053,0.189,1.34,0.02,0.189,64.0,JSPTHHSV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE4140,VD,4615132.0,,101.0,1560.0,1505.0,132.0,1500.0,25.0,3881.0,0.096,0.65,0.079,0.1449,0.095,51.0,224.5,0.035,0.394,0.83,0.004,0.264,61.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.304,0.2,0.1051,-0.0625,363.2857142857143,7.0
SAE4140,VD,4615133.0,,98.0,1580.0,1505.0,132.0,1500.0,25.0,3877.0,0.088,0.66,0.0769,0.1459,0.055,54.0,292.48,0.031,0.396,0.82,0.003,0.262,61.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.312,0.19,0.1041,-0.0225,363.2857142857143,7.0
JSPTHHSV,NVD,4615134.0,,98.0,1615.0,1505.0,120.0,1600.0,25.0,3438.0,0.085,0.97,0.08,0.157,0.077,54.0,288.4,0.032,0.18,1.34,0.007,0.219,70.0,JSPTHHSV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE4140,VD,4615135.0,,98.0,1560.0,1505.0,156.0,1500.0,25.0,3626.0,0.125,0.64,0.081,0.1449,0.084,55.0,265.0,0.04,0.387,0.83,0.003,0.232,61.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.275,0.21,0.1051,-0.0515,363.2857142857143,7.0
JSPTHHSV,NVD,4615136.0,,107.0,1578.0,1505.0,600.0,1650.0,25.0,3868.0,0.071,0.57,0.0749,0.1179,0.022,54.0,651.25,0.039,0.176,1.3,0.0089,0.202,66.0,JSPTHHSV,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPTHHSV,NVD,4615137.0,,101.0,1578.0,1505.0,154.0,1550.0,25.0,3662.0,0.092,0.71,0.0719,0.163,0.034,54.0,282.8,0.037,0.181,1.31,0.0089,0.2079,66.0,JSPTHHSV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE4140,NVD,4615138.0,,104.0,1622.0,1505.0,132.0,1400.0,25.0,3678.0,0.157,0.58,0.062,0.128,0.041,54.0,314.26,0.032,0.386,0.82,0.006,0.2399,64.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.243,0.2700000000000001,0.122,-0.0085,363.2857142857143,7.0
JSPTHHSV,NVD,4615139.0,,105.0,1582.0,1505.0,110.0,1400.0,25.0,3817.0,0.095,0.7,0.069,0.151,0.034,54.0,245.4,0.029,0.178,1.32,0.008,0.215,64.0,JSPTHHSV,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE4140,VD,4615140.0,,100.0,1565.0,1505.0,132.0,1450.0,25.0,3836.0,0.118,0.59,0.0709,0.131,0.039,53.0,290.5,0.036,0.408,0.86,0.005,0.25,63.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.282,0.2600000000000001,0.119,-0.0064999999999999,363.2857142857143,7.0
JSPHTHSV,NVD,4615141.0,,100.0,1582.0,1505.0,110.0,1650.0,25.0,3706.0,0.092,0.97,0.0749,0.1449,0.013,53.0,275.1,0.032,0.188,1.33,0.0089,0.1739,74.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.098,0.355,0.0551,,445.4,35.0
JSPHTHSV,NVD,4615142.0,,100.0,1574.0,1505.0,110.0,1550.0,25.0,3658.0,0.105,0.91,0.0709,0.139,0.022,54.0,324.6,0.039,0.186,1.32,0.006,0.2349,71.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.085,0.4149999999999999,0.061,,445.4,35.0
JSPHTHSV,NVD,4615143.0,,103.0,1577.0,1505.0,110.0,1350.0,25.0,3694.0,0.103,0.86,0.0599,0.12,0.015,57.0,331.2,0.03,0.183,1.33,0.006,0.221,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.087,0.4649999999999999,0.08,,445.4,35.0
JSPHTHSV,NVD,4615144.0,,100.0,1574.0,1505.0,132.0,1350.0,25.0,4310.0,0.097,0.91,0.0539,0.135,0.018,55.0,307.0,0.033,0.179,1.32,0.005,0.2069,68.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.093,0.4149999999999999,0.065,,445.4,35.0
SAE9254,VD,4615145.0,,100.0,1554.0,1505.0,0.0,1550.0,25.0,4466.0,0.064,0.28,0.0509,0.7239,0.003,64.0,10.0,0.007,0.54,0.64,0.006,1.321,61.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.481,0.3699999999999999,0.6261000000000001,,436.781728873635,
JSPHTHSV,NVD,4615146.0,,104.0,1575.0,1505.0,132.0,1400.0,25.0,3568.0,0.099,0.92,0.066,0.137,0.049,48.0,260.8,0.036,0.165,1.32,0.0109,0.2039,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.091,0.4049999999999999,0.063,,445.4,35.0
JSPHTHSV,NVD,4615147.0,,103.0,1580.0,1505.0,110.0,1350.0,25.0,3846.0,0.127,0.93,0.0609,0.155,0.004,47.0,304.8,0.037,0.179,1.33,0.007,0.2099,70.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.063,0.3949999999999999,0.045,,445.4,35.0
SAE9254,VD,4615148.0,,93.0,1530.0,1505.0,0.0,1350.0,25.0,3850.0,0.048,0.29,0.0599,0.8199,0.003,47.0,10.0,0.007,0.535,0.63,0.0109,1.351,60.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.497,0.3599999999999999,0.5301000000000001,,436.781728873635,
JSPHTHSV,NVD,4615149.0,,101.0,1575.0,1505.0,110.0,1350.0,25.0,3949.0,0.115,0.93,0.063,0.157,0.019,54.0,245.4,0.039,0.203,1.34,0.008,0.2069,73.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.075,0.3949999999999999,0.043,,445.4,35.0
JSPHTHSV,NVD,4615150.0,,102.0,1570.0,1505.0,132.0,1650.0,25.0,3570.0,0.091,0.84,0.065,0.12,0.024,61.0,330.1,0.029,0.178,1.34,0.0149,0.169,68.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.099,0.485,0.08,,445.4,35.0
JSPHTHSV,NVD,4615151.0,,98.0,1575.0,1505.0,132.0,1550.0,25.0,3610.0,0.122,0.97,0.063,0.162,0.063,57.0,277.3,0.03,0.177,1.32,0.007,0.1809,60.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.068,0.355,0.038,,445.4,35.0
JSPHTHSV,NVD,4615152.0,,103.0,1575.0,1505.0,132.0,1150.0,25.0,4253.0,0.111,0.94,0.055,0.152,0.04,54.0,255.85,0.041,0.177,1.32,0.016,0.203,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.079,0.385,0.048,,445.4,35.0
JSPHTHSV,NVD,4615153.0,,105.0,1575.0,1505.0,132.0,1400.0,25.0,4793.0,0.126,0.91,0.041,0.156,0.074,54.0,226.15,0.039,0.183,1.32,0.0089,0.182,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.064,0.4149999999999999,0.044,,445.4,35.0
