GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
JSPHTHS(V),NVD,100.0,1617.0,1505.0,110.0,1500.0,25.0,3154.0,0.097,0.72,0.0609,0.1419,0.048,54.0,285.0,0.035,0.186,1.34,0.0089,0.182,67.0
JSPHTHS(V),NVD,100.0,1570.0,1505.0,110.0,1250.0,25.0,3191.0,0.097,0.72,0.0609,0.1419,0.048,54.0,275.1,0.03,0.182,1.31,0.012,0.184,64.0
JSPHTHS(V),NVD,99.0,1565.0,1505.0,132.0,1400.0,25.0,3799.0,0.111,0.95,0.063,0.139,0.017,51.0,307.0,0.032,0.183,1.31,0.0064,0.219,64.0
JSPHTHS(V),NVD,101.0,1566.0,1505.0,156.0,1300.0,25.0,3709.0,0.126,0.95,0.0539,0.1739,0.116,61.0,222.1,0.036,0.179,1.29,0.004,0.215,63.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,110.0,1070.0,25.0,3385.0,0.107,1.03,0.048,0.129,0.051,47.0,219.0,0.029,0.18,1.31,0.006,0.216,64.0
FE550DLMH,NVD,100.0,1620.0,1505.0,110.0,1250.0,25.0,3375.0,0.088,0.62,0.058,0.1409,0.107,60.0,120.0,0.009,0.195,0.84,0.0089,0.185,66.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,178.0,1800.0,25.0,3175.0,0.122,0.99,0.0759,0.161,0.111,37.0,254.0,0.033,0.175,1.34,0.006,0.202,63.0
FE550DLMH,NVD,98.0,1582.0,1505.0,178.0,1000.0,25.0,3447.0,0.069,0.64,0.0609,0.1439,0.094,33.0,188.0,0.018,0.193,0.83,0.0149,0.189,54.0
JSPHTHS(V),NVD,100.0,1565.0,1505.0,110.0,1300.0,25.0,3464.0,0.1,0.97,0.0709,0.14,0.033,41.0,242.1,0.03,0.172,1.32,0.006,0.2109,64.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,110.0,1250.0,25.0,3166.0,0.103,1.03,0.0759,0.163,0.065,40.0,228.9,0.027,0.175,1.32,0.007,0.195,64.0
JSPHTHS(V),NVD,102.0,1565.0,1505.0,110.0,1500.0,25.0,3499.0,0.099,0.98,0.07,0.151,0.031,43.0,304.8,0.038,0.19,1.34,0.012,0.165,64.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,110.0,1400.0,25.0,3238.0,0.119,1.0,0.0759,0.162,0.095,32.0,145.41,0.033,0.193,1.34,0.0089,0.198,68.0
JSPHTHS(V),NVD,98.0,1565.0,1505.0,110.0,1100.0,25.0,3812.0,0.138,1.03,0.0609,0.162,0.047,54.0,268.5,0.037,0.177,1.31,0.008,0.201,67.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,132.0,1150.0,25.0,3656.0,0.079,0.86,0.055,0.115,0.011,61.0,356.5,0.03,0.175,1.34,0.012,0.227,66.0
JSPHTHS(V),NVD,98.0,1560.0,1505.0,132.0,1305.0,25.0,3462.0,0.13,1.04,0.064,0.1739,0.053,57.0,284.89,0.037,0.188,1.32,0.0129,0.1809,66.0
JSPHTHS(V),NVD,102.0,1564.0,1505.0,132.0,1450.0,25.0,3657.0,0.094,1.01,0.0589,0.163,0.022,67.0,299.41,0.036,0.18,1.35,0.014,0.2079,64.0
JSPHTHS(V),NVD,95.0,1567.0,1505.0,132.0,1250.0,25.0,3422.0,0.119,1.02,0.055,0.1719,0.073,61.0,218.56,0.036,0.177,1.31,0.01,0.2109,67.0
FE550DLMH,NVD,100.0,1610.0,1505.0,132.0,850.0,25.0,3725.0,0.079,0.66,0.057,0.1409,0.061,54.0,142.0,0.004,0.19,0.86,0.0089,0.164,67.0
JSPHTHS(V),NVD,104.0,1560.0,1505.0,132.0,1200.0,25.0,3819.0,0.105,1.0,0.0599,0.1719,0.09,60.0,168.4,0.019,0.178,1.3,0.0129,0.171,67.0
JSPHTHSV,NVD,99.0,1615.0,1505.0,132.0,1400.0,25.0,3005.0,0.192,1.01,0.067,0.192,0.086,51.0,193.15,0.027,0.188,1.33,0.014,0.217,66.0
FE550DLMH,NVD,99.0,1585.0,1522.0,132.0,1300.0,25.0,3432.0,0.109,0.67,0.0599,0.153,0.085,60.0,142.0,0.008,0.189,0.8,0.0089,0.166,67.0
JSPHTHSV,NVD,98.0,1568.0,1505.0,132.0,1400.0,25.0,3742.0,0.101,0.68,0.0539,0.1499,0.055,48.0,211.3,0.039,0.187,1.33,0.007,0.203,67.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,132.0,1400.0,25.0,3445.0,0.078,0.71,0.055,0.1449,0.038,57.0,275.65,0.029,0.193,1.34,0.006,0.222,66.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1500.0,25.0,3156.0,0.091,0.93,0.0589,0.158,0.063,51.0,280.6,0.036,0.193,1.36,0.007,0.2,66.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1200.0,25.0,3816.0,0.116,1.09,0.063,0.1698,0.032,50.0,280.6,0.038,0.19,1.31,0.0089,0.2129,67.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1400.0,25.0,3805.0,0.116,1.09,0.063,0.17,0.032,51.0,316.9,0.036,0.179,1.31,0.006,0.228,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1400.0,25.0,3432.0,0.095,0.96,0.0589,0.1449,0.032,51.0,257.5,0.026,0.191,1.35,0.008,0.192,67.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1300.0,25.0,3897.0,0.091,0.91,0.058,0.1189,0.034,54.0,208.0,0.027,0.186,1.34,0.01,0.222,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,110.0,1200.0,25.0,3506.0,0.104,0.95,0.0599,0.14,0.007,51.0,255.3,0.029,0.195,1.33,0.0109,0.218,64.0
JSPHTHSV,NVD,100.0,1566.0,1505.0,132.0,1400.0,25.0,3616.0,0.103,1.0,0.0519,0.14,0.015,55.0,295.78,0.029,0.179,1.31,0.008,0.224,64.0
JSPHTHSV,NVD,100.0,1567.0,1505.0,132.0,1300.0,25.0,3647.0,0.116,0.99,0.0429,0.151,0.023,51.0,257.5,0.033,0.178,1.3,0.007,0.215,66.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1100.0,25.0,3645.0,0.099,0.82,0.0449,0.12,0.022,50.0,302.05,0.032,0.186,1.33,0.008,0.216,66.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,132.0,1600.0,25.0,3637.0,0.104,1.04,0.048,0.1459,0.017,54.0,242.65,0.028,0.187,1.3,0.017,0.159,66.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1300.0,25.0,3814.0,0.094,1.04,0.063,0.156,0.029,44.0,208.0,0.03,0.194,1.32,0.0089,0.225,64.0
JSPHTHSVVD,VD,96.0,1565.0,1505.0,132.0,1800.0,25.0,4108.0,0.084,0.98,0.0599,0.125,0.01,48.0,379.6,0.039,0.185,1.35,0.006,0.202,61.0
JSPHTHSVVD,VD,96.0,1568.0,1505.0,132.0,1500.0,25.0,3678.0,0.085,0.94,0.0599,0.109,0.015,43.0,330.1,0.032,0.177,1.31,0.004,0.201,61.0
JSPHTHSVVD,VD,96.0,1565.0,1505.0,132.0,1800.0,25.0,3261.0,0.088,0.91,0.0729,0.121,0.011,48.0,379.6,0.03,0.188,1.35,0.005,0.1729,54.0
FE550DLMH,NVD,100.0,1618.0,1505.0,132.0,1500.0,25.0,3252.0,0.058,0.55,0.066,0.095,0.019,50.0,191.5,0.006,0.198,0.85,0.01,0.2359,71.0
JSPHTHSV,NVD,102.0,1580.0,1505.0,132.0,1500.0,25.0,3125.0,0.065,0.62,0.064,0.155,0.033,61.0,257.17,0.028,0.189,1.35,0.007,0.187,67.0
FE550DLMH,NVD,99.0,1580.0,1505.0,110.0,1200.0,25.0,3345.0,0.085,0.6,0.066,0.1179,0.011,41.0,169.5,0.006,0.197,0.81,0.0109,0.224,68.0
JSPHTHSV,NVD,99.0,1562.0,1505.0,132.0,1350.0,25.0,3425.0,0.087,0.9,0.048,0.13,0.021,60.0,257.5,0.037,0.199,1.36,0.0129,0.226,68.0
JSPHTHSV,NVD,101.0,1575.0,1505.0,132.0,1300.0,25.0,3552.0,0.09,0.92,0.0529,0.13,0.04,54.0,234.4,0.029,0.173,1.32,0.008,0.22,70.0
JSPHTHSV,NVD,113.0,1570.0,1505.0,132.0,1300.0,25.0,3935.0,0.11,0.89,0.069,0.1439,0.028,60.0,224.5,0.031,0.185,1.35,0.01,0.225,70.0
FE550DLMH,NVD,110.0,1619.0,1505.0,110.0,1250.0,25.0,3714.0,0.059,0.53,0.064,0.098,0.004,51.0,202.5,0.006,0.191,0.84,0.0089,0.2059,67.0
FE550DLMH,NVD,100.0,1585.0,1505.0,132.0,1400.0,25.0,3697.0,0.052,0.58,0.0599,0.0889,0.023,57.0,175.0,0.006,0.198,0.88,0.01,0.2,67.0
S275HS,NVD,107.0,1575.0,1505.0,132.0,1500.0,25.0,3483.0,0.167,0.59,0.05,0.133,0.052,61.0,247.6,0.01,0.191,0.85,0.006,0.215,60.0
FE550DLMH,NVD,98.0,1595.0,1505.0,110.0,1200.0,25.0,3405.0,0.124,0.63,0.05,0.136,0.027,64.0,153.0,0.006,0.192,0.83,0.008,0.17,67.0
FE550DLMH,NVD,99.0,1618.0,1505.0,132.0,1500.0,25.0,3489.0,0.095,0.61,0.055,0.13,0.039,60.0,191.5,0.032,0.163,0.82,0.01,0.2039,67.0
S275HS,NVD,97.0,1575.0,1505.0,132.0,1500.0,25.0,3693.0,0.081,0.63,0.055,0.122,0.032,61.0,247.6,0.031,0.162,0.82,0.005,0.197,67.0
FE550DLMH,NVD,96.0,1592.0,1505.0,132.0,1150.0,25.0,3669.0,0.147,0.62,0.057,0.137,0.055,61.0,142.0,0.006,0.188,0.83,0.01,0.193,67.0
JSPHTHS(V),NVD,98.0,1565.0,1505.0,132.0,1380.0,25.0,3665.0,0.097,0.84,0.05,0.13,0.047,61.0,274.0,0.037,0.188,1.36,0.014,0.196,67.0
JSPHTHS(V),NVD,102.0,1570.0,1505.0,132.0,1250.0,25.0,4163.0,0.107,1.01,0.056,0.186,0.069,66.0,208.0,0.035,0.189,1.36,0.012,0.2039,67.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,132.0,1150.0,25.0,3717.0,0.108,0.99,0.0539,0.2119,0.05,64.0,258.16,0.039,0.185,1.32,0.008,0.2089,66.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,0.0,1350.0,25.0,3709.0,0.116,0.95,0.056,0.14,0.002,54.0,201.4,0.036,0.188,1.36,0.01,0.2119,66.0
JSPHTHS(V),NVD,95.0,1565.0,1505.0,132.0,1400.0,25.0,3501.0,0.118,1.03,0.0529,0.163,0.095,64.0,189.52,0.033,0.186,1.36,0.01,0.202,67.0
JSPHTHSV,NVD,96.0,1569.0,1505.0,132.0,1300.0,25.0,3528.0,0.132,0.91,0.0539,0.1419,0.094,54.0,211.63,0.032,0.181,1.37,0.0089,0.218,66.0
JSPHTHSV,NVD,103.0,1568.0,1505.0,132.0,1294.0,25.0,4011.0,0.093,0.99,0.048,0.138,0.041,55.0,248.26,0.036,0.181,1.31,0.006,0.214,67.0
JSPHTHS(V),NVD,105.0,1568.0,1505.0,132.0,1250.0,25.0,3892.0,0.143,1.0,0.0519,0.161,0.126,51.0,155.2,0.027,0.188,1.33,0.008,0.194,66.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1400.0,25.0,3469.0,0.105,1.0,0.0459,0.1499,0.041,51.0,219.55,0.03,0.19,1.33,0.01,0.198,67.0
JSPHTHS(V),NVD,100.0,1560.0,1505.0,132.0,1350.0,25.0,3507.0,0.114,1.05,0.0519,0.167,0.029,51.0,244.3,0.035,0.192,1.33,0.007,0.232,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1400.0,25.0,3462.0,0.125,1.1,0.0529,0.193,0.049,51.0,217.9,0.034,0.19,1.35,0.008,0.2089,66.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1650.0,25.0,3772.0,0.086,1.02,0.057,0.137,0.027,54.0,250.9,0.029,0.181,1.33,0.0089,0.169,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1400.0,25.0,3534.0,0.095,1.04,0.0589,0.153,0.06,54.0,267.4,0.032,0.185,1.34,0.012,0.195,67.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1500.0,25.0,3518.0,0.098,0.97,0.0599,0.128,0.024,51.0,208.0,0.035,0.177,1.3,0.02,0.1739,63.0
FE550DLMH,NVD,100.0,1610.0,1505.0,110.0,1300.0,25.0,3468.0,0.104,0.61,0.0589,0.129,0.039,54.0,164.55,0.012,0.187,0.82,0.016,0.2039,66.0
JSPHTHSV,NVD,100.0,1620.0,1505.0,132.0,1400.0,25.0,3624.0,0.097,0.72,0.0609,0.1419,0.048,54.0,244.3,0.025,0.187,1.32,0.0089,0.221,67.0
FE550DLMH,NVD,100.0,1588.0,1505.0,132.0,1600.0,25.0,3565.0,0.067,0.48,0.056,0.067,0.015,51.0,208.0,0.005,0.182,0.82,0.008,0.1759,67.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,132.0,1450.0,25.0,3426.0,0.105,0.9,0.056,0.126,0.016,53.0,288.85,0.027,0.18,1.3,0.0089,0.214,64.0
FE550DLMH,NVD,100.0,1585.0,1505.0,132.0,1250.0,25.0,3549.0,0.067,0.64,0.055,0.131,0.048,51.0,158.5,0.009,0.196,0.81,0.012,0.166,66.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1300.0,25.0,3219.0,0.11,1.03,0.0599,0.1769,0.055,51.0,247.6,0.038,0.189,1.33,0.008,0.234,68.0
JSPHTHSV,NVD,100.0,1586.0,1505.0,110.0,1300.0,25.0,3518.0,0.083,1.01,0.0759,0.108,0.011,47.0,294.9,0.028,0.184,1.34,0.0129,0.168,63.0
JSPHTHSV,NVD,100.0,1590.0,1505.0,132.0,1300.0,25.0,3502.0,0.108,0.96,0.05,0.116,0.015,54.0,307.0,0.021,0.19,1.35,0.007,0.2369,67.0
JSPHTHSV,NVD,101.0,1560.0,1505.0,132.0,1300.0,25.0,3620.0,0.111,1.03,0.07,0.169,0.028,61.0,283.9,0.032,0.177,1.38,0.01,0.222,70.0
JSPHTHSV,NVD,101.0,1569.0,1505.0,132.0,1650.0,25.0,3564.0,0.132,0.97,0.068,0.154,0.035,47.0,307.0,0.03,0.188,1.34,0.008,0.2119,63.0
FE550DLMH,NVD,98.0,1625.0,1505.0,110.0,1300.0,25.0,3731.0,0.088,0.61,0.0739,0.114,0.014,48.0,186.0,0.005,0.212,0.86,0.0109,0.224,71.0
FE550DLMH,NVD,103.0,1580.0,1505.0,110.0,1300.0,25.0,3605.0,0.11,0.58,0.07,0.134,0.071,47.0,120.0,0.006,0.194,0.84,0.014,0.2049,70.0
FE550DLMH,NVD,101.0,1575.0,1505.0,110.0,1250.0,25.0,3802.0,0.08,0.63,0.0599,0.117,0.021,45.0,153.0,0.007,0.199,0.84,0.007,0.2109,64.0
FE550DLMH,NVD,101.0,1577.0,1505.0,110.0,1150.0,25.0,3535.0,0.104,0.63,0.058,0.139,0.051,43.0,120.0,0.006,0.197,0.83,0.012,0.193,64.0
FE550DLMH,NVD,103.0,1575.0,1505.0,110.0,1300.0,25.0,3629.0,0.08,0.55,0.0609,0.108,0.005,48.0,169.5,0.005,0.188,0.83,0.01,0.203,58.0
FE550DLMH,NVD,105.0,1573.0,1505.0,110.0,1300.0,25.0,3808.0,0.07,0.6,0.056,0.111,0.02,51.0,169.5,0.007,0.197,0.82,0.0089,0.221,63.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1450.0,25.0,3218.0,0.07,0.6,0.065,0.109,0.012,51.0,186.0,0.004,0.199,0.81,0.0129,0.182,61.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1200.0,25.0,3419.0,0.083,0.61,0.058,0.122,0.015,54.0,120.0,0.007,0.187,0.84,0.012,0.164,60.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1100.0,25.0,3874.0,0.087,0.61,0.0609,0.133,0.046,54.0,120.0,0.011,0.198,0.82,0.012,0.161,61.0
FE550DLMH,NVD,101.0,1590.0,1505.0,110.0,1100.0,25.0,3659.0,0.076,0.58,0.0879,0.116,0.018,57.0,202.5,0.008,0.191,0.86,0.01,0.195,64.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1400.0,25.0,3624.0,0.103,0.59,0.0729,0.125,0.033,57.0,153.0,0.006,0.191,0.83,0.007,0.189,64.0
S275HS,NVD,102.0,1612.0,1505.0,110.0,1466.0,25.0,3451.0,0.091,0.58,0.0759,0.131,0.034,58.0,249.36,0.033,0.157,0.82,0.007,0.2099,61.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1400.0,25.0,3445.0,0.089,0.6,0.065,0.133,0.024,60.0,153.0,0.004,0.189,0.85,0.0089,0.1719,64.0
FE550DLMH,NVD,100.0,1585.0,1505.0,110.0,1200.0,25.0,3462.0,0.099,0.63,0.062,0.135,0.054,61.0,120.0,0.005,0.183,0.82,0.0089,0.195,43.0
S275HS,NVD,99.0,1570.0,1505.0,110.0,1500.0,25.0,3488.0,0.067,0.6,0.068,0.1189,0.03,54.0,245.4,0.021,0.163,0.82,0.01,0.197,60.0
FE550DLMH,NVD,97.0,1580.0,1505.0,110.0,1100.0,25.0,3478.0,0.122,0.66,0.0739,0.152,0.034,55.0,120.0,0.01,0.195,0.87,0.02,0.188,64.0
JSPHTHSV,NVD,101.0,1585.0,1505.0,110.0,1400.0,25.0,3424.0,0.093,0.96,0.0739,0.1409,0.03,60.0,235.5,0.039,0.192,1.37,0.017,0.2039,67.0
JSPHTHSV,NVD,101.0,1581.0,1505.0,132.0,1400.0,25.0,3559.0,0.096,1.0,0.067,0.155,0.025,57.0,229.78,0.035,0.169,1.31,0.007,0.219,66.0
JSPHTHSV,NVD,103.0,1585.0,1505.0,132.0,1600.0,25.0,3867.0,0.083,0.82,0.069,0.096,0.012,51.0,340.0,0.029,0.17,1.35,0.006,0.252,64.0
JSPHTHSV,NVD,103.0,1579.0,1505.0,132.0,1400.0,25.0,3451.0,0.097,0.9,0.065,0.136,0.02,54.0,336.04,0.03,0.179,1.32,0.008,0.227,64.0
JSPHTHSV,NVD,106.0,1580.0,1505.0,132.0,1400.0,25.0,3874.0,0.09,0.94,0.062,0.1499,0.025,54.0,315.25,0.036,0.192,1.32,0.0089,0.201,67.0
JSPHTHSV,NVD,105.0,1575.0,1505.0,178.0,1450.0,25.0,3615.0,0.087,0.92,0.056,0.131,0.017,55.0,315.05,0.048,0.17,1.33,0.01,0.1799,64.0
FE550DLMH,NVD,104.0,1613.0,1505.0,110.0,1450.0,25.0,3478.0,0.057,0.53,0.057,0.095,0.033,50.0,172.8,0.007,0.196,0.81,0.0109,0.249,64.0
JSPHTHSV,NVD,99.0,1578.0,1505.0,132.0,1600.0,25.0,3724.0,0.076,0.57,0.062,0.11,0.048,51.0,274.0,0.029,0.181,1.34,0.0089,0.225,67.0
FE550DLMH,NVD,102.0,1595.0,1505.0,132.0,1500.0,25.0,3570.0,0.08,0.54,0.056,0.1189,0.091,54.0,142.0,0.012,0.194,0.87,0.005,0.2419,64.0
JSPHTHSV,NVD,98.0,1578.0,1505.0,132.0,1250.0,25.0,3383.0,0.088,0.61,0.055,0.137,0.065,50.0,234.4,0.026,0.187,1.34,0.008,0.234,67.0
FE550DLMH,NVD,96.0,1585.0,1505.0,110.0,1300.0,25.0,3453.0,0.096,0.68,0.0599,0.1469,0.062,50.0,120.0,0.019,0.173,0.83,0.016,0.231,64.0
JSPHTHSV,NVD,103.0,1580.0,1505.0,178.0,1400.0,25.0,3874.0,0.121,0.91,0.064,0.158,0.075,51.0,257.3,0.031,0.181,1.28,0.008,0.2049,64.0
JSPHTHSV,NVD,97.0,1580.0,1505.0,156.0,1400.0,25.0,3502.0,0.133,1.02,0.069,0.168,0.103,54.0,281.5,0.031,0.201,1.43,0.006,0.2349,68.0
JSPHTHSV,NVD,101.0,1578.0,1505.0,132.0,1400.0,25.0,3838.0,0.155,0.97,0.065,0.1759,0.12,54.0,171.7,0.039,0.19,1.35,0.005,0.2359,64.0
JSPHTHSV,NVD,101.0,1575.0,1505.0,132.0,1400.0,25.0,3376.0,0.108,0.91,0.0729,0.125,0.023,54.0,330.1,0.04,0.179,1.34,0.0089,0.2379,68.0
JSPHTHSV,NVD,102.0,1578.0,1505.0,132.0,1450.0,25.0,3286.0,0.095,0.94,0.0599,0.169,0.069,54.0,274.0,0.031,0.18,1.34,0.007,0.195,70.0
JSPHTHSV,NVD,100.0,1578.0,1505.0,132.0,1600.0,25.0,3955.0,0.082,0.61,0.08,0.113,0.02,53.0,343.3,0.033,0.184,1.29,0.008,0.1809,67.0
FE550DLMH,NVD,99.0,1615.0,1505.0,110.0,1250.0,25.0,4251.0,0.084,0.61,0.078,0.117,0.011,50.0,120.0,0.005,0.192,0.85,0.006,0.22,66.0
FE550DLMH,NVD,97.0,1598.0,1505.0,110.0,1700.0,25.0,3784.0,0.071,0.58,0.08,0.13,0.02,47.0,228.9,0.005,0.189,0.82,0.008,0.184,63.0
JSPHTHSV,NVD,101.0,1610.0,1505.0,110.0,1550.0,25.0,4180.0,0.06,0.52,0.078,0.0719,0.006,60.0,450.0,0.036,0.185,1.33,0.0089,0.222,70.0
FE550DLMH,NVD,99.0,1575.0,1505.0,110.0,1550.0,25.0,5757.0,0.057,0.61,0.1,0.12,0.015,64.0,186.0,0.005,0.202,0.84,0.006,0.203,71.0
JSPTHHSV,NVD,93.0,1580.0,1505.0,110.0,1500.0,25.0,4595.0,0.11,1.05,0.0749,0.1439,0.019,67.0,268.5,0.033,0.179,1.32,0.008,0.2039,73.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,110.0,1550.0,25.0,4100.0,0.084,0.6,0.078,0.124,0.019,58.0,285.0,0.038,0.187,1.39,0.0089,0.234,64.0
JSPHTHSV,NVD,100.0,1580.0,1505.0,110.0,1300.0,25.0,3744.0,0.097,0.97,0.0859,0.1489,0.025,64.0,301.5,0.035,0.172,1.28,0.0089,0.196,70.0
FE550DLMH,NVD,99.0,1575.0,1505.0,110.0,1400.0,25.0,3680.0,0.07,0.57,0.08,0.113,0.007,51.0,186.0,0.005,0.194,0.84,0.012,0.183,67.0
JSPTHHSV,NVD,95.0,1578.0,1505.0,110.0,1550.0,25.0,3670.0,0.098,0.64,0.085,0.131,0.041,57.0,219.0,0.025,0.169,1.32,0.007,0.249,67.0
FE550DLMH,NVD,99.0,1580.0,1505.0,110.0,1500.0,25.0,3651.0,0.065,0.56,0.0749,0.047,0.002,51.0,235.5,0.005,0.196,0.88,0.017,0.1779,67.0
JSPTHHSV,NVD,99.0,1585.0,1505.0,110.0,1400.0,25.0,4468.0,0.154,1.02,0.058,0.187,0.089,55.0,186.0,0.033,0.184,1.33,0.0049,0.221,64.0
JSPTHHSV,NVD,101.0,1578.0,1505.0,110.0,1450.0,25.0,4235.0,0.087,0.98,0.0729,0.1449,0.009,64.0,285.0,0.032,0.175,1.31,0.007,0.194,64.0
JSPTHHSV,NVD,102.0,1577.0,1505.0,110.0,1300.0,25.0,3656.0,0.097,0.98,0.079,0.164,0.096,60.0,136.5,0.032,0.184,1.33,0.0129,0.217,64.0
JSPTHHSV,NVD,103.0,1580.0,1505.0,110.0,1450.0,25.0,4204.0,0.085,0.72,0.0599,0.1489,0.06,57.0,139.8,0.045,0.167,1.29,0.014,0.17,64.0
FE550DLMH,NVD,101.0,1615.0,1505.0,110.0,1300.0,25.0,3785.0,0.099,0.61,0.068,0.14,0.149,60.0,120.0,0.017,0.203,0.81,0.007,0.1779,61.0
JSPTHHSV,NVD,102.0,1580.0,1505.0,110.0,1250.0,25.0,4329.0,0.079,0.69,0.0749,0.156,0.086,54.0,120.0,0.033,0.187,1.32,0.0089,0.217,61.0
FE550DLMH,NVD,100.0,1595.0,1505.0,110.0,1300.0,25.0,3815.0,0.138,0.76,0.078,0.183,0.137,61.0,120.0,0.043,0.2,0.81,0.024,0.1779,64.0
JSPTHHSV,NVD,102.0,1580.0,1505.0,110.0,1450.0,25.0,3699.0,0.08,0.91,0.0749,0.1409,0.029,57.0,153.0,0.028,0.183,1.3,0.0129,0.202,60.0
JSPTHHSV,NVD,99.0,1580.0,1505.0,132.0,1500.0,25.0,3754.0,0.104,0.94,0.082,0.155,0.046,57.0,257.5,0.032,0.19,1.36,0.0089,0.2389,66.0
JSPTHHSV,NVD,100.0,1590.0,1505.0,132.0,1700.0,25.0,3575.0,0.098,0.91,0.085,0.1499,0.063,57.0,277.3,0.031,0.175,1.33,0.012,0.224,67.0
JSPTHHSV,NVD,100.0,1580.0,1505.0,132.0,1450.0,25.0,3643.0,0.079,0.88,0.083,0.115,0.014,54.0,363.1,0.031,0.165,1.33,0.008,0.2049,67.0
JSPTHHSV,NVD,100.0,1580.0,1505.0,132.0,1200.0,25.0,3690.0,0.102,1.02,0.0719,0.165,0.034,51.0,274.0,0.034,0.19,1.33,0.008,0.2089,67.0
SAE4140,VD,101.0,1580.0,1505.0,178.0,1300.0,25.0,3675.0,0.056,0.53,0.0719,0.107,0.024,51.0,415.7,0.036,0.382,0.85,0.005,0.264,61.0
JSPTHHSV,NVD,97.0,1575.0,1505.0,132.0,1400.0,25.0,3907.0,0.12,0.89,0.0749,0.152,0.057,51.0,224.5,0.053,0.189,1.34,0.02,0.189,64.0
SAE4140,VD,101.0,1560.0,1505.0,132.0,1500.0,25.0,3881.0,0.096,0.65,0.079,0.1449,0.095,51.0,224.5,0.035,0.394,0.83,0.004,0.264,61.0
SAE4140,VD,98.0,1580.0,1505.0,132.0,1500.0,25.0,3877.0,0.088,0.66,0.0769,0.1459,0.055,54.0,292.48,0.031,0.396,0.82,0.003,0.262,61.0
JSPTHHSV,NVD,98.0,1615.0,1505.0,120.0,1600.0,25.0,3438.0,0.085,0.97,0.08,0.157,0.077,54.0,288.4,0.032,0.18,1.34,0.007,0.219,70.0
SAE4140,VD,98.0,1560.0,1505.0,156.0,1500.0,25.0,3626.0,0.125,0.64,0.081,0.1449,0.084,55.0,265.0,0.04,0.387,0.83,0.003,0.232,61.0
JSPTHHSV,NVD,107.0,1578.0,1505.0,600.0,1650.0,25.0,3868.0,0.071,0.57,0.0749,0.1179,0.022,54.0,651.25,0.039,0.176,1.3,0.0089,0.202,66.0
JSPTHHSV,NVD,101.0,1578.0,1505.0,154.0,1550.0,25.0,3662.0,0.092,0.71,0.0719,0.163,0.034,54.0,282.8,0.037,0.181,1.31,0.0089,0.2079,66.0
SAE4140,NVD,104.0,1622.0,1505.0,132.0,1400.0,25.0,3678.0,0.157,0.58,0.062,0.128,0.041,54.0,314.26,0.032,0.386,0.82,0.006,0.2399,64.0
JSPTHHSV,NVD,105.0,1582.0,1505.0,110.0,1400.0,25.0,3817.0,0.095,0.7,0.069,0.151,0.034,54.0,245.4,0.029,0.178,1.32,0.008,0.215,64.0
SAE4140,VD,100.0,1565.0,1505.0,132.0,1450.0,25.0,3836.0,0.118,0.59,0.0709,0.131,0.039,53.0,290.5,0.036,0.408,0.86,0.005,0.25,63.0
