GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
FE550DLMH,NVD,100.0,1582.0,1505.0,110.0,1250.0,50.0,3793.0,0.132,0.44,0.07,0.104,0.027,50.0,126.5,0.009,0.188,0.83,0.006,0.2049,67.0
C18,NVD,100.0,1575.0,1505.0,110.0,1300.0,50.0,3438.0,0.079,0.43,0.07,0.137,0.03,50.0,209.0,0.023,0.182,0.54,0.012,0.1799,66.0
FE550DLMH,NVD,100.0,1582.0,1505.0,110.0,1100.0,50.0,3459.0,0.13,0.66,0.0749,0.157,0.04,53.0,110.0,0.014,0.186,0.81,0.016,0.192,68.0
FE550DLMH,NVD,100.0,1581.0,1505.0,110.0,1250.0,50.0,3260.0,0.073,0.62,0.07,0.1179,0.014,41.0,143.0,0.007,0.192,0.84,0.0109,0.218,61.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1300.0,50.0,3373.0,0.077,0.64,0.0739,0.097,0.026,61.0,123.2,0.006,0.178,0.83,0.0109,0.193,70.0
FE550DLMH,NVD,100.0,1585.0,1505.0,110.0,1200.0,50.0,3870.0,0.094,0.69,0.081,0.162,0.076,70.0,110.0,0.008,0.177,0.83,0.006,0.1719,58.0
C18,NVD,100.0,1610.0,1505.0,110.0,1300.0,50.0,3831.0,0.154,0.43,0.0749,0.1459,0.063,66.0,159.5,0.019,0.182,0.53,0.007,0.157,70.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1200.0,50.0,3864.0,0.07,0.41,0.067,0.068,0.005,51.0,159.5,0.01,0.187,0.83,0.012,0.193,64.0
FE550DLMH,NVD,100.0,1580.0,1505.0,132.0,1100.0,50.0,3521.0,0.071,0.43,0.0719,0.107,0.086,53.0,132.0,0.014,0.174,0.82,0.0149,0.229,67.0
C18,NVD,101.0,1575.0,1505.0,110.0,1450.0,25.0,4083.0,0.104,0.43,0.07,0.0919,0.046,63.0,185.9,0.025,0.192,0.51,0.01,0.171,64.0
FE550DLMH,NVD,100.0,1580.0,1505.0,132.0,1400.0,25.0,3621.0,0.067,0.01,0.062,0.019,0.108,51.0,132.0,0.017,0.188,0.84,0.016,0.227,66.0
C18,NVD,102.0,1575.0,1505.0,132.0,1100.0,25.0,3480.0,0.071,0.41,0.064,0.122,0.056,51.0,191.4,0.026,0.166,0.54,0.0149,0.164,64.0
C18,NVD,104.0,1578.0,1505.0,132.0,1300.0,25.0,3918.0,0.094,0.4,0.062,0.0909,0.036,55.0,198.0,0.02,0.184,0.52,0.0089,0.187,61.0
C18,NVD,103.0,1565.0,1505.0,132.0,1100.0,25.0,3775.0,0.079,0.42,0.066,0.083,0.047,54.0,214.5,0.023,0.19,0.57,0.012,0.1459,67.0
JSPHTHSV,NVD,101.0,1565.0,1505.0,132.0,1200.0,25.0,3545.0,0.091,0.45,0.0599,0.1,0.08,54.0,189.75,0.032,0.2,1.33,0.008,0.229,64.0
JSPHTHSV,NVD,101.0,1575.0,1505.0,132.0,1200.0,25.0,3522.0,0.065,0.37,0.0609,0.0709,0.03,57.0,231.0,0.033,0.167,1.41,0.012,0.247,64.0
JSPHTHSV,NVD,102.0,1583.0,1505.0,132.0,1200.0,25.0,3292.0,0.11,0.94,0.0529,0.156,0.032,54.0,231.0,0.028,0.163,1.39,0.0109,0.225,70.0
JSPHTHSV,NVD,102.0,1570.0,1505.0,132.0,1300.0,25.0,3569.0,0.108,1.03,0.0599,0.165,0.026,60.0,198.0,0.036,0.2,1.34,0.014,0.249,61.0
